title,genre,poster,rating
Glass Onion,Action,https://example.com/posters/Glass_Onion.jpg,10.3
Bullet Train,Romance,https://example.com/posters/Bullet_Train.jpg,6.6
The Whale,Comedy,https://example.com/posters/The_Whale.jpg,7.0
Elvis,Drama,https://example.com/posters/Elvis.jpg,8.3
Oppenheimer,Horror,https://example.com/posters/Oppenheimer.jpg,9.6
Barbie,Sci-Fi,https://example.com/posters/Barbie.jpg,10.0
Mission Impossible,Thriller,https://example.com/posters/Mission_Impossible.jpg,6.3
John Wick,Action,https://example.com/posters/John_Wick.jpg,7.6
Skyfall,Romance,https://example.com/posters/Skyfall.jpg,8.0
Spectre,Comedy,https://example.com/posters/Spectre.jpg,9.3
The Batman,Drama,https://example.com/posters/The_Batman.jpg,10.6
Logan,Horror,https://example.com/posters/Logan.jpg,6.0
Wolverine,Sci-Fi,https://example.com/posters/Wolverine.jpg,7.3
X-Men,Thriller,https://example.com/posters/X-Men.jpg,8.6
The Flash,Action,https://example.com/posters/The_Flash.jpg,9.0
Aquaman,Romance,https://example.com/posters/Aquaman.jpg,10.3
Ant-Man,Comedy,https://example.com/posters/Ant-Man.jpg,6.6
Guardians of the Galaxy,Drama,https://example.com/posters/Guardians_of_the_Galaxy.jpg,7.0
Spider-Man: No Way Home,Horror,https://example.com/posters/Spider-Man:_No_Way_Home.jpg,8.3
Home Alone,Sci-Fi,https://example.com/posters/Home_Alone.jpg,9.6
The Grinch,Thriller,https://example.com/posters/The_Grinch.jpg,10.0
Santa Clause,Action,https://example.com/posters/Santa_Clause.jpg,6.3
Elf,Romance,https://example.com/posters/Elf.jpg,7.6
Miracle on 34th Street,Comedy,https://example.com/posters/Miracle_on_34th_Street.jpg,8.0
The Polar Express,Drama,https://example.com/posters/The_Polar_Express.jpg,9.3
Sing,Horror,https://example.com/posters/Sing.jpg,10.6
Trolls,Sci-Fi,https://example.com/posters/Trolls.jpg,6.0
Paddington,Thriller,https://example.com/posters/Paddington.jpg,7.3
Kung Fu Panda,Action,https://example.com/posters/Kung_Fu_Panda.jpg,8.6
Ratatouille,Romance,https://example.com/posters/Ratatouille.jpg,9.0
Cars,Comedy,https://example.com/posters/Cars.jpg,10.3
Wall-E,Drama,https://example.com/posters/Wall-E.jpg,6.6
Bolt,Horror,https://example.com/posters/Bolt.jpg,7.0
Rio,Sci-Fi,https://example.com/posters/Rio.jpg,8.3
Happy Feet,Thriller,https://example.com/posters/Happy_Feet.jpg,9.6
Despicable Me,Action,https://example.com/posters/Despicable_Me.jpg,10.0
Hotel Transylvania,Romance,https://example.com/posters/Hotel_Transylvania.jpg,6.3
Ice Age,Comedy,https://example.com/posters/Ice_Age.jpg,7.6
The Croods,Drama,https://example.com/posters/The_Croods.jpg,8.0
Brave,Horror,https://example.com/posters/Brave.jpg,9.3
Tangled,Sci-Fi,https://example.com/posters/Tangled.jpg,10.6
Big Hero 6,Thriller,https://example.com/posters/Big_Hero_6.jpg,6.0
Wreck-It Ralph,Action,https://example.com/posters/Wreck-It_Ralph.jpg,7.3
How to Train Your Dragon,Romance,https://example.com/posters/How_to_Train_Your_Dragon.jpg,8.6
Megamind,Comedy,https://example.com/posters/Megamind.jpg,9.0
Cloudy with a Chance of Meatballs,Drama,https://example.com/posters/Cloudy_with_a_Chance_of_Meatballs.jpg,10.3
The Lego Movie,Horror,https://example.com/posters/The_Lego_Movie.jpg,6.6
The Peanuts Movie,Sci-Fi,https://example.com/posters/The_Peanuts_Movie.jpg,7.0
